Round 1: The Genie vs She-Hulk, Prob: 20.0%, Matches: 5, Winner: She-Hulk
Round 2: Medusa vs Houdini, Prob: 76.0%, Matches: 135, Winner: Medusa
Round 2: Spider-Man vs Dracula, Prob: 30.0%, Matches: 10, Winner: Dracula
Round 2: T. Rex vs Raptors, Prob: 79.0%, Matches: 24, Winner: T. Rex
Round 2: Ancient Leshen vs Jekyll & Hyde, Prob: 50.0%, Matches: 0, Winner: Jekyll & Hyde
Round 2: Invisible Man vs Cloak & Dagger, Prob: 67.0%, Matches: 15, Winner: Invisible Man
Round 3: Chupacabra vs Sinbad, Prob: 50.0%, Matches: 1, Winner: Sinbad
Round 3: Yennefer vs Sherlock Holmes, Prob: 50.0%, Matches: 14, Winner: Yennefer
Round 3: Elektra vs Sun Wukong, Prob: 86.0%, Matches: 22, Winner: Elektra
Round 3: Alice vs The Wayward Sisters, Prob: 67.0%, Matches: 6, Winner: Alice
Round 3: Hamlet vs InGen, Prob: 50.0%, Matches: 0, Winner: InGen
Round 3: Loki vs Medusa, Prob: 50.0%, Matches: 0, Winner: Medusa
Round 3: Dracula vs T. Rex, Prob: 21.0%, Matches: 19, Winner: Dracula
Round 3: Jekyll & Hyde vs Invisible Man, Prob: 44.0%, Matches: 64, Winner: Invisible Man
Round 4: Sinbad vs Yennefer, Prob: 90.0%, Matches: 20, Winner: Sinbad
Round 4: Elektra vs Alice, Prob: 50.0%, Matches: 3, Winner: Elektra
Round 4: InGen vs Medusa, Prob: 17.0%, Matches: 23, Winner: Medusa
Round 4: Dracula vs Invisible Man, Prob: 59.0%, Matches: 58, Winner: Dracula
Round 5: Sinbad vs Elektra, Prob: 24.0%, Matches: 17, Winner: Elektra
Round 5: Medusa vs Dracula, Prob: 60.0%, Matches: 55, Winner: Medusa
Round 6: Elektra vs Medusa, Prob: 60.0%, Matches: 15, Winner: Elektra
